Versão,Regiões,I/O_e_malloc,num_Threads,Tamanho_entrada,num_Execuções,Tempo_médio_de_execução,Intervalo_de_confiança,,,
OpenMP,Triple Spiral,Com,8,1024,10,"0,301","0,0034",,,
OpenMP,Triple Spiral,Com,8,2048,10,"1,2064","0,0127",,,
OpenMP,Triple Spiral,Com,8,4096,10,"4,836","0,174",,,
OpenMP,Triple Spiral,Com,8,8192,10,"18,774","0,299",,,
Pthreads,Elephant,Com,4,16,10,"0,00094","0,0000447",,,
Pthreads,Elephant,Com,4,32,10,"0,00125","0,000024",,,
Pthreads,Elephant,Com,4,64,10,"0,0047","0,00008",,,
Pthreads,Elephant,Com,4,128,10,"0,013","0,00052",,,
Pthreads,Elephant,Com,4,256,10,"0,03566","0,00339",,,
Pthreads,Elephant,Com,4,512,10,"0,115","0,00395",,,
Pthreads,Elephant,Com,4,1024,10,"0,4211","0,0092",,,
Pthreads,Elephant,Com,4,2048,10,"1,59284","0,00884",,,
Pthreads,Elephant,Com,4,4096,10,"6,2967","0,0107",,,
Pthreads,Elephant,Com,4,8192,10,"25,1067","0,0342",,,
OpenMP,Elephant,Com,4,16,10,"0,00102","0,00004",,,
OpenMP,Elephant,Com,4,32,10,"0,001314","0,000033",,,
OpenMP,Elephant,Com,4,64,10,"0,0028","0,000069",,,
OpenMP,Elephant,Com,4,128,10,"0,00875","0,00033",,,
OpenMP,Elephant,Com,4,256,10,"0,02666","0,000395",,,
OpenMP,Elephant,Com,4,512,10,"0,104","0,00119",,,
OpenMP,Elephant,Com,4,1024,10,"0,4199","0,00629",,,
OpenMP,Elephant,Com,4,2048,10,"1,596","0,00498",,,
OpenMP,Elephant,Com,4,4096,10,"6,3901","0,0134",,,
OpenMP,Elephant,Com,4,8192,10,"25,2753","0,0393",,,
Pthreads,Full,Com,4,16,10,"0,00097","0,000082",,,
Pthreads,Full,Com,4,32,10,"0,0009868","0,000023",,,
Pthreads,Full,Com,4,64,10,"0,0015","0,0000418",,,
Pthreads,Full,Com,4,128,10,"0,0035","0,000133",,,
Pthreads,Full,Com,4,256,10,"0,018667","0,000214",,,
Pthreads,Full,Com,4,512,10,"0,0635","0,00126",,,
Pthreads,Full,Com,4,1024,10,"0,1764","0,00433",,,
Pthreads,Full,Com,4,2048,10,"0,593","0,0072",,,
Pthreads,Full,Com,4,4096,10,"2,2441","0,0139",,,
Pthreads,Full,Com,4,8192,10,"8,7585","0,0151",,,
OpenMP,Full,Com,4,16,10,"0,001335","0,000406",,,
OpenMP,Full,Com,4,32,10,"0,0010415","0,0000237",,,
OpenMP,Full,Com,4,64,10,"0,0026539","0,0000411",,,
OpenMP,Full,Com,4,128,10,"0,0047","0,000361",,,
OpenMP,Full,Com,4,256,10,"0,022841","0,00069",,,
OpenMP,Full,Com,4,512,10,"0,05083","0,00228",,,
OpenMP,Full,Com,4,1024,10,"0,19","0,0073",,,
OpenMP,Full,Com,4,2048,10,"0,5755","0,006",,,
OpenMP,Full,Com,4,4096,10,"2,2674","0,0128",,,
OpenMP,Full,Com,4,8192,10,"8,78","0,0119",,,
Pthreads,Seahorse,Com,4,16,10,"0,001","0,00007",,,
Pthreads,Seahorse,Com,4,32,10,"0,0011","0,000031",,,
Pthreads,Seahorse,Com,4,64,10,"0,0025","0,0000659",,,
Pthreads,Seahorse,Com,4,128,10,"0,01415","0,000176",,,
Pthreads,Seahorse,Com,4,256,10,"0,05058","0,00101",,,
Pthreads,Seahorse,Com,4,512,10,"0,13","0,00397",,,
Pthreads,Seahorse,Com,4,1024,10,"0,45","0,00419",,,
Pthreads,Seahorse,Com,4,2048,10,"1,73","0,0041",,,
Pthreads,Seahorse,Com,4,4096,10,"6,77","0,0058",,,
Pthreads,Seahorse,Com,4,8192,10,"27,046","0,124",,,
OpenMP,Seahorse,Com,4,16,10,"0,00096","0,000026",,,
OpenMP,Seahorse,Com,4,32,10,"0,0016","0,000039",,,
OpenMP,Seahorse,Com,4,64,10,"0,003","0,00008",,,
OpenMP,Seahorse,Com,4,128,10,"0,015","0,000645",,,
OpenMP,Seahorse,Com,4,256,10,"0,031","0,00212",,,
OpenMP,Seahorse,Com,4,512,10,"0,1113","0,0035",,,
OpenMP,Seahorse,Com,4,1024,10,"0,435","0,00579",,,
OpenMP,Seahorse,Com,4,2048,10,"1,727","0,0137",,,
OpenMP,Seahorse,Com,4,4096,10,"6,831","0,00457",,,
OpenMP,Seahorse,Com,4,8192,10,"27,1163","0,0355",,,
Pthreads,Triple Spiral,Com,4,16,10,"0,0013","0,000424",,,
Pthreads,Triple Spiral,Com,4,32,10,"0,0014","0,00011",,,
Pthreads,Triple Spiral,Com,4,64,10,"0,0027","0,000076",,,
Pthreads,Triple Spiral,Com,4,128,10,"0,012","0,001",,,
Pthreads,Triple Spiral,Com,4,256,10,"0,0395","0,00281",,,
Pthreads,Triple Spiral,Com,4,512,10,"0,129","0,0025",,,
Pthreads,Triple Spiral,Com,4,1024,10,"0,478","0,00599",,,
Pthreads,Triple Spiral,Com,4,2048,10,"1,805","0,0045",,, 
Pthreads,Triple Spiral,Com,4,4096,10,"7,11","0,0038",,,
Pthreads,Triple Spiral,Com,4,8192,10,"28,23","0,015",,,
